Date,Title,Speaker,Place and Time
"Tuesday, August 4th",Algorithms and stuff,Mohan Paturi,"TBD"
"Thursday, August 6th",Clock Talk: Using Genetic Algorithms to Design Gear Ratios,Miles Jones,"TBD"
"Tuesday, August 11th",Applications of Machine Learning for Computer Security,Lawrence Saul,"TBD"
"Thursday, August 13th",Unsupervised Learning,Sanjoy Dasgupta,"TBD"
"Tuesday, August 18th",Who Is There For Me? ,Viera Kair,"TBD"
"Thursday, August 20th",IoT Data Systems,Ian Lerner,"TBD"
"Tuesday, August 25th",Platforms & Systems to Bridge the Digital & Physical World,Pat Pannuto,"TBD"
"Thursday, August 27th",Student Computing Orgs + Networking,Alvin Wang,"TBD"
"Tuesday, September 1st",SPIS Mentor Panel,SPIS Mentors,"TBD"
