Intro,Time,Description
Parents (as well as general public) are welcome to attend the SPIS closing ceremony. Parents/guests are advised to follow the information below to better navigate themselves inside the campus and to park their car.,8:00 am - 9:00 am,Students will set up their presentations in CSE B230/B240
Student project demos will be held in B230/240 of the CSE (Computer Science and Engineering) building. Please enter the lobby of the CSE building and take the elevator to go down to basement. The closing ceremony will be held in CSE 1202 in the CSE building.,9:00 am - 11:00 am,"Project presentations, CSE B230 and B240, open to parents and public"
"The nearest location for parking is [Hopkins Parking Structure] {https://www.google.com/maps/place/Hopkins+Parking+Structure/@32.8837794,-117.2415152,17z/data=!3m1!4b1!4m5!3m4!1s0x80dc06c1e6156103:0xc6690b999c002d97!8m2!3d32.8837749!4d-117.2393265}. Please use the directions and maps to locate the Hopkins Parking Structure or other parking spaces. Payment stations are located at each parking lot and structure.",11:00 am - 12:15 pm,"SPIS Closing Ceremony, CSE 1202
* Welcome (Mohan Paturi)
* Speakers: 'Dean Tullsen, Chair, CSE', 'Lily Steiner, SPIS Student', 'Chris Velasquez, SPIS Student'
* Students will receive certificates from SPIS faculty (Gary Gillespie, Niema Moshiri, Curt Schurgers)
* Closing remarks"
,12:30 pm - 1:30 pm,"Light refreshments, CSE Building"
,1:30 pm - 2:00 pm,Walk to the residence halls to prepare for departure
